PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF1B
Surfaceome,ELFN1
Surfaceome,AQP4
SurfaceomeEnzyme,ACHE
SurfaceomeIgSF_CAMT cell co-stimulator,SLAMF1
Surfaceome,SPN
SurfaceomeT cell co-inhibitor,PDCD1
SurfaceomeIgSF_CAM,CLMP
Surfaceome,CLDN4
SurfaceomeTransporter,SLC14A1
SurfaceomeTransporter,ABCC5
Surfaceome,OCLN
SurfaceomeIL-3 receptor family,IL3RA
SurfaceomeFc Receptor,FCGR1A
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF1A
SurfaceomeEnzyme,ADAM19
Surfaceome,CSPG5
Surfaceome,FAM171A2
SurfaceomeEnzyme,ADAM28
